SBGR GRU São Paulo [Aeroporto Internacional Guarulhos], SP, BR
SBGL GIG Rio de Janeiro [Galeão - Antônio Carlos (Tom) Jobim Intl], RJ, BR
SBRF REC Recife [Guararapes Intl (Gilberto Freyre Intl)], PE, BR
SBEG MAO Manaus [Eduardo Gomes Intl], AM, BR
SBBR BSB Brasília [Presidente Juscelino Kubitschek Intl], DF, BR
SBSV SSA Salvador [Deputado Luís Eduardo Magalhães (Dois de Julho)], BA, BR
RIO Rio de Janeiro [Metro Area], RJ, BR
SBFZ FOR Fortaleza [Pinto Martins Intl], CE, BR
SBKP VCP Campinas (São Paulo) [Viracopos (Campinas Intl)], SP, BR
SBNT NAT Natal [Augusto Severo Intl], RN, BR
SBPA POA Porto Alegre [Porto Alegre Intl / Salgado Filho], RS, BR
SBBE BEL Belém [Belém Intl - Val de Cães], PA, BR
SBSP CGH São Paulo [Congonhas Intl], SP, BR
SBCF CNF Belo Horizonte [Tancredo Neves Intl (Confins Intl)], MG, BR
SAO São Paulo [Metro Area], SP, BR
SSMT Mostardas, RS, BR
SBCT CWB Curitiba [Afonso Pena Intl], PR, BR
SBSJ SJK São José dos Campos [Professor Urbano Ernesto Stumpf], SP, BR
SBRJ SDU Rio de Janeiro [Aeroporto Santos Dumont], RJ, BR
SBFN FEN Fernando de Noronha, FN, PE, BR
SBFI IGU Iguaçu Falls (Iguazu Falls) [Cataratas Intl], PR, BR
SBBV BVB Boa Vista, RR, BR
SBCY CGB Cuiabá [Marechal Rondon], MT, BR
SBVT VIX Vitória [Goiabeiras], ES, BR
SBAU ARU Aracatuba, SP, BR
SBMQ MCP Macapá, PA, BR
SBCG CGR Campo Grande, MS, BR
SBFL FLN Florianopolis [Hercilio Luz], SC, BR
SBSL SLZ São Luis [Marechal Cunha Machado Intl], MA, BR
SBMO MCZ Maceió [Zumbi dos Palmares (Campo dos Palmares)], AL, BR
SBBH PLU Belo Horizonte [Pampulha Intl], MG, BR
SDAM CPQ Campinas [Amarais], SP, BR
SBPS BPS Porto Seguro, BA, BR
SBAT AFL Alta Floresta, MT, BR
SBPV PVH Porto Velho [Governador Jorge Teixeira de Oliveira], RO, BR
SBRG RIG Rio Grande, RS, BR
SBGO GYN Goiania [Santa Genoveva], GO, BR
SBAR AJU Aracaju [Santa Maria], SE, BR
SBRP RAO Riberão Preto [Leite Lopes], SP, BR
SBCB CFB Cabo Frio [Intl], RJ, BR
SBPJ PMW Palmas [Tocantins], PR, BR
SBLO LDB Londrina, PR, BR
SNWC CMC Camocim, CE, BR
SBCX CXJ Caxias do Sul [Campo Dos Bugres], RS, BR
SBSR SJP São José do Rio Preto, SP, BR
SBJP JPA Joao Pessoa [Presidente Castro Pinto], PB, BR
SBSN STM Santarém, PA, BR
SBUL UDI Uberlândia, MG, BR
SBBU BAU Bauru, SP, BR
SBCV CRQ Caravelas, BA, BR
SBTE THE Teresina [Senador Petrônio Portella], PI, BR
SBDN PPB Presidente Prudente [A. De Barros], SP, BR
SBMT São Paulo [Campo de Marte], SP, BR
SBUR UBA Uberaba, MG, BR
SBRB RBR Rio Branco [Presidente Medici], AC, BR
SBIL IOS Ilheus, BA, BR
SDJD QDV Jundiaí, SP, BR
SBPB PHB Parnaíba [Santos Dumont], PI, BR
SWSI OPS Sinop, MT, BR
SBTF TFF Tefá, AM, BR
SBQV VDC Vitoria da Conquista, BA, BR
SBMG MGF Maringá [Aeroporto Regional de Maringá], PR, BR
SBMS MVF Mossoró (Moçoró) [Dix Sept Rosado], RN, BR
SDCO SOD Sorocaba, SP, BR
SNBR BRA Barreiras, BA, BR
SBJF JDF Juiz de Fora [Francisco de Assis], MG, BR
SBPL PNZ Petrolina [Senador Nilo Coelho], PE, BR
SBCJ CKS Carajas, PA, BR
SWKO CIZ Coari, AM, BR
SBME MEA Macaé, RJ, BR
SBML MII Marília, SP, BR
SBNF NVT Navegantes [Ministro Victor Konder Intl], SC, BR
SBJC Belém [Júlio Cesar], PA, BR
SBMA MAB Maraba, PA, BR
SBMK MOC Montes Claros, MG, BR
SBSM RIA Santa Maria, RS, BR
SBTC UNA Una, BA, BR
SWGN AUX Araguaina, TO, BR
